height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.243448,1.366685,0.515167,1.420311,1.699402,2.413680,0.425666,1.604024,140.876160,Oblong
1.214407,1.351075,0.527154,1.404051,1.640754,2.303703,0.413745,1.578151,139.758499,Oblong
1.287432,1.313141,0.492508,1.546233,1.690580,2.614031,0.401679,1.594844,138.814957,Oblong
1.283693,1.351391,0.523794,1.412729,1.734772,2.450762,0.430972,1.582564,136.795029,Oblong
1.210788,1.316001,0.495187,1.534527,1.593398,2.445113,0.420440,1.593543,133.868164,Oblong
1.342480,1.329572,0.509147,1.477219,1.784924,2.636725,0.410053,1.585705,137.761917,Oblong
1.207876,1.394359,0.518215,1.383934,1.684213,2.330839,0.424247,1.618921,141.274918,Oblong
1.189909,1.401468,0.535857,1.331582,1.667620,2.220573,0.408449,1.600775,142.606766,Oblong
1.278673,1.349504,0.549426,1.348705,1.725574,2.327290,0.439680,1.549860,144.398148,Oblong
1.266036,1.364815,0.506138,1.447631,1.727905,2.501368,0.413107,1.614416,138.551498,Oblong
1.504684,1.328973,0.487014,1.545050,1.999684,3.089611,0.410186,1.613587,154.018829,Oblong
1.229836,1.286578,0.515836,1.506789,1.582280,2.384161,0.415708,1.546681,139.625443,Oblong
1.262020,1.369166,0.519054,1.407119,1.727915,2.431382,0.407343,1.600735,137.087845,Oblong
1.214800,1.344098,0.495836,1.500484,1.632809,2.450005,0.417618,1.613126,139.913773,Oblong
1.458097,1.390010,0.517552,1.390042,2.026770,2.817296,0.404719,1.616853,146.060501,Oblong
1.241299,1.309911,0.500309,1.525877,1.625992,2.481064,0.410520,1.582629,138.812973,Oblong
1.200296,1.325555,0.492858,1.530665,1.591058,2.435376,0.424560,1.603515,134.138153,Oblong
1.229886,1.271495,0.490223,1.604322,1.563794,2.508829,0.419420,1.566540,137.908432,Oblong
1.242233,1.370611,0.522470,1.396447,1.702619,2.377617,0.429885,1.597353,143.911758,Oblong
1.317259,1.361079,0.487239,1.507908,1.792893,2.703518,0.418185,1.636728,139.513321,Oblong
1.302672,1.366704,0.490111,1.492901,1.780368,2.657912,0.422334,1.636931,140.061249,Oblong
1.272786,1.284007,0.520310,1.496823,1.634266,2.446207,0.437541,1.539502,139.117783,Oblong
1.227683,1.325745,0.498389,1.513460,1.627594,2.463300,0.420427,1.596574,138.590439,Oblong
1.319443,1.367300,0.498464,1.467243,1.804075,2.647016,0.425629,1.626237,145.537811,Oblong
1.289166,1.318792,0.479968,1.579835,1.700142,2.685943,0.425330,1.615200,139.580856,Oblong
1.176947,1.358440,0.510015,1.443367,1.598813,2.307674,0.428728,1.604939,140.793488,Oblong
1.356762,1.334257,0.500656,1.496997,1.810269,2.709967,0.431323,1.599824,140.469223,Oblong
1.277353,1.343530,0.501543,1.484036,1.716163,2.546847,0.408553,1.605329,136.163269,Oblong
1.255507,1.338637,0.531227,1.406232,1.680668,2.363410,0.430857,1.564633,142.677277,Oblong
1.199122,1.307878,0.513969,1.487634,1.568305,2.333064,0.429678,1.564252,134.340408,Oblong
1.218599,1.338214,0.529875,1.410265,1.630747,2.299785,0.429083,1.565999,143.254990,Oblong
1.199764,1.327784,0.540441,1.393556,1.593027,2.219971,0.432385,1.546102,133.033783,Oblong
1.225571,1.340187,0.499732,1.493128,1.642494,2.452454,0.408457,1.605269,140.430588,Oblong
1.246651,1.383575,0.567726,1.273087,1.724836,2.195866,0.438437,1.549797,146.390717,Oblong
1.317307,1.346604,0.486254,1.527204,1.773891,2.709093,0.428349,1.627521,140.182846,Oblong
1.245403,1.322836,0.497966,1.518080,1.647464,2.500982,0.414783,1.595002,138.683014,Oblong
1.267645,1.369941,0.508655,1.435076,1.736598,2.492150,0.409661,1.614708,135.178513,Oblong
